% 1. Title: Tweets Sentiment Analysis
@RELATION tweetfeatures

@ATTRIBUTE countfirstpersonpronouns NUMERIC
@ATTRIBUTE countsecondpersonpronouns NUMERIC
@ATTRIBUTE countthirdpersonpronouns NUMERIC
@ATTRIBUTE countcoordinatingconjunctions NUMERIC
@ATTRIBUTE countpasttenseverbs NUMERIC
@ATTRIBUTE countfuturetenseverbs NUMERIC
@ATTRIBUTE countcommas NUMERIC
@ATTRIBUTE countcolonssemicolons NUMERIC
@ATTRIBUTE countdashes NUMERIC
@ATTRIBUTE countparentheses NUMERIC
@ATTRIBUTE countellipses NUMERIC
@ATTRIBUTE countcommonnouns NUMERIC
@ATTRIBUTE countpropernouns NUMERIC
@ATTRIBUTE countadverbs NUMERIC
@ATTRIBUTE countwhwords NUMERIC
@ATTRIBUTE countslangacronyms NUMERIC
@ATTRIBUTE countuppercase NUMERIC
@ATTRIBUTE averagelengthsentences NUMERIC
@ATTRIBUTE averagelengthtokens NUMERIC
@ATTRIBUTE numbersentences NUMERIC
@ATTRIBUTE class {0,4}

@DATA
0,0,1,1,1,0,0,0,0,0,0,11,0,0,0,0,0,9.5,3.33333333333,2,0
1,0,0,1,0,0,1,0,0,0,0,9,3,1,1,0,3,8.5,3.51724137931,4,0
1,0,0,2,0,0,0,1,0,0,1,9,0,0,0,0,0,26.0,3.0,1,0
0,1,0,0,1,0,0,0,0,0,0,5,0,2,0,1,0,9.5,4.33333333333,2,0
1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,9.0,3.625,1,0
0,1,0,0,0,0,2,0,0,0,1,4,2,0,1,0,0,6.5,4.88888888889,2,0
0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,6.5,4.33333333333,2,0
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,4.66666666667,3.84615384615,3,0
0,0,0,0,3,0,2,0,0,0,0,7,0,2,1,0,0,13.5,3.95833333333,2,0
1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,1,16.0,6.23076923077,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,2.5,1,0
0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,7.0,4.14285714286,1,0
2,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,10.5,4.57894736842,2,0
1,0,1,1,0,0,2,0,0,0,2,9,1,2,0,1,0,9.33333333333,3.0,3,0
0,0,1,1,0,0,0,0,0,0,0,4,0,2,0,0,0,7.0,4.61538461538,2,0
1,0,0,0,1,0,0,0,0,0,0,6,2,0,0,1,1,9.0,3.33333333333,1,0
1,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0,14.0,3.76923076923,1,0
0,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0,1,9.0,3.22222222222,1,0
3,0,2,1,1,0,1,0,0,0,1,9,0,2,0,1,0,15.0,3.42857142857,2,0
1,0,0,0,2,0,0,0,0,0,0,9,3,0,0,0,0,6.33333333333,2.64705882353,3,0
1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,6.5,5.0,2,0
0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,11.0,3.2,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,3.0,1,0
1,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,5.5,3.8,2,0
2,0,2,2,0,1,0,0,0,0,2,2,0,3,0,0,0,30.0,3.14285714286,1,0
0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,9.0,4.93333333333,2,0
0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,9.0,3.42857142857,2,0
0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,6.0,3.25,2,0
1,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,14.0,3.83333333333,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,1,0
1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,20.0,3.45,1,0
1,3,0,0,4,0,0,0,1,0,0,5,1,0,0,0,0,24.0,3.09090909091,1,0
1,1,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,8.0,3.0,1,0
0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,8.0,4.0,2,0
0,0,0,0,1,0,1,0,1,0,0,6,0,1,0,0,0,24.0,3.63636363636,1,0
0,0,0,1,0,0,0,0,0,0,1,6,3,1,1,0,0,9.0,3.8,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,3.0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6.0,5.0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,6.0,4.0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,4.0,1,0
2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,12.0,2.72727272727,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6.0,4.33333333333,1,0
0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,5.5,3.90909090909,2,0
4,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,1,8.5,3.0625,2,0
3,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,20.0,3.88888888889,1,0
0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,11.0,3.36363636364,1,0
1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,9.0,2.75,1,0
3,0,0,1,1,0,0,0,0,0,0,7,0,2,0,0,0,29.0,2.93103448276,1,0
0,0,1,0,0,0,0,0,0,0,0,8,1,1,0,0,1,8.5,2.625,2,0
0,0,0,0,0,0,0,0,0,0,1,7,1,1,0,0,1,10.0,4.0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3.0,4.33333333333,1,0
2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,7.0,4.42857142857,1,0
0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,9.0,3.47058823529,2,0
2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.5,3.2,2,0
1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,5.5,4.22222222222,2,0
1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,7.5,3.54545454545,2,0
1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,3,18.0,2.17647058824,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8.0,2.625,1,0
1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,17.0,2.8125,1,0
0,0,2,1,3,0,2,0,0,0,0,10,0,1,0,1,0,35.0,3.0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,11.0,3.72727272727,1,0
1,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,4.66666666667,3.45454545455,3,0
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,4.0,4.0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8.0,2.75,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4.33333333333,3.0,3,0
1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9.0,3.875,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.0,2.6,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,5.2,1,0
1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,8.0,2.6,2,0
0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,5.0,4.44444444444,2,0
1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,4.0,3.5,1,0
2,1,0,0,0,0,0,0,0,0,0,10,0,1,1,1,2,5.25,3.66666666667,4,0
1,3,2,1,0,0,0,0,0,0,0,8,0,0,0,2,1,25.0,3.84,1,0
0,0,0,0,0,0,0,0,1,0,1,7,0,1,0,0,0,10.0,3.5,2,0
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,8.0,5.16666666667,1,0
1,0,1,0,1,0,0,0,0,0,1,9,0,4,0,0,0,29.0,3.51851851852,1,0
0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,15.0,3.0,1,0
2,0,1,1,0,0,2,0,0,0,0,8,1,1,0,1,1,16.5,2.96551724138,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.0,3.66666666667,1,0
0,0,1,1,0,0,1,0,0,0,0,6,0,0,0,0,0,11.5,3.33333333333,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8.0,4.14285714286,1,0
1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,5.66666666667,3.54545454545,3,0
1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,8.0,3.28571428571,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,2.875,1,0
2,0,1,0,1,0,0,0,0,0,0,4,0,1,0,1,0,6.66666666667,3.27777777778,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,6.0,1,0
2,0,1,0,0,0,0,0,0,0,0,5,2,1,0,1,0,12.5,3.4347826087,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,7.5,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4.5,4.75,2,0
1,0,0,0,0,0,2,0,0,0,2,6,0,1,0,1,0,5.0,3.86666666667,4,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.0,4.6,2,0
0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,9.0,5.85714285714,1,0
0,0,0,0,0,0,1,1,0,0,0,4,2,0,0,0,1,3.5,4.5,2,0
0,0,1,0,1,0,0,0,0,0,2,7,0,1,0,0,1,5.5,2.47368421053,4,0
1,1,2,0,2,0,0,0,0,0,0,6,0,1,0,0,0,10.0,3.44444444444,2,0
1,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,1,9.33333333333,3.64,3,0
0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,7.66666666667,3.42105263158,3,0
1,0,1,0,1,0,0,0,0,0,2,4,1,1,0,0,0,24.0,4.09090909091,1,0
2,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,1,9.5,2.94117647059,2,0
2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,12.0,4.27272727273,1,0
2,0,0,1,1,0,0,0,0,0,0,7,1,3,1,1,1,7.25,3.76,4,0
0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,1,10.5,4.05,2,0
0,0,1,0,0,0,0,0,0,0,1,4,3,3,0,0,0,6.0,3.7,4,0
0,1,0,0,1,0,0,0,0,0,0,17,2,0,0,1,1,24.0,2.5,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.42857142857,1,0
3,0,0,1,0,1,4,0,0,0,0,10,0,2,1,0,0,38.0,3.15625,1,0
2,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,6.5,3.7,2,0
0,1,0,0,0,0,2,0,1,0,0,5,0,1,0,0,0,15.0,4.91666666667,1,0
0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3.0,2.2,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,3.33333333333,1,0
0,0,1,0,0,0,0,0,0,0,0,6,1,2,0,0,0,9.0,4.20833333333,3,0
1,0,0,1,0,0,0,0,1,0,0,9,1,2,0,1,0,22.0,3.47619047619,1,0
2,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,11.0,4.0,1,0
0,0,2,2,2,0,1,0,0,0,0,3,1,3,0,2,0,10.0,4.82352941176,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,4.0,1,0
2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6.0,4.1,2,0
1,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,6.0,3.2,1,0
2,0,2,0,3,0,1,0,0,0,0,3,0,1,1,1,0,11.5,3.52380952381,2,0
0,0,0,0,1,0,0,0,2,0,0,9,1,0,1,1,1,11.5,2.8,2,0
3,0,4,0,3,0,2,0,0,0,0,0,0,2,0,0,0,23.0,3.71428571429,1,0
0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,20.0,4.65,1,0
2,0,2,0,1,0,0,0,0,0,0,2,0,3,0,1,0,11.0,3.31578947368,2,0
1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,7.0,3.57142857143,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,2.5,1,0
3,1,0,1,0,1,0,0,0,0,0,7,0,0,0,0,1,13.0,3.42307692308,2,0
1,1,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,12.0,3.54545454545,1,0
1,0,0,1,2,0,1,0,0,0,0,4,1,1,0,0,0,16.0,4.42857142857,1,0
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,2.71428571429,2,0
1,2,1,0,0,0,0,0,0,0,0,4,0,3,0,2,0,9.5,4.05555555556,2,0
0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,8.5,3.26666666667,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.42857142857,1,0
2,0,0,0,2,0,1,0,0,0,0,4,0,1,0,0,0,17.0,3.4375,1,0
1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,9.0,4.44444444444,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,10.0,3.1,1,0
1,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,16.0,3.85714285714,1,0
0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,9.0,4.5,1,0
1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7.0,2.83333333333,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13.0,3.09090909091,1,0
3,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,7.0,2.58333333333,2,0
0,0,1,0,1,0,0,0,0,0,0,6,2,1,1,1,0,9.33333333333,3.84,3,0
1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,5.33333333333,2.84615384615,3,0
1,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,13.3333333333,2.48571428571,3,0
0,0,0,1,1,0,0,0,0,0,0,10,0,1,0,0,0,22.0,5.57894736842,1,0
2,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,11.0,3.57142857143,2,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.0,4.33333333333,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4.0,4.5,1,0
1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,10.0,4.1,1,0
0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,16.0,4.07142857143,1,0
2,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,11.5,4.14285714286,2,0
0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,8.5,4.0,2,0
0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,7.0,5.66666666667,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,3.85714285714,1,0
1,1,2,0,0,0,1,0,0,0,0,5,0,2,0,0,0,10.0,2.55555555556,2,0
3,0,1,1,0,1,0,0,0,0,1,6,0,0,1,0,1,8.75,2.87096774194,4,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,5.5,3.0,2,0
1,1,0,1,0,0,2,0,1,0,0,3,0,4,0,2,0,9.0,3.14285714286,3,0
5,0,1,0,3,0,0,0,0,0,2,9,0,0,0,1,1,14.0,3.30769230769,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,3.6,1,0
0,0,3,1,1,0,1,0,0,0,0,7,1,1,0,0,0,9.33333333333,4.45833333333,3,0
1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,2,6.5,3.27272727273,2,0
1,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,7.0,4.61538461538,2,0
0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,3.5,3.57142857143,2,0
3,0,0,0,1,0,0,0,0,1,0,7,2,2,1,1,2,28.0,3.73076923077,1,0
0,0,0,1,1,1,1,0,0,0,0,7,0,2,0,1,0,5.4,4.42857142857,5,0
0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,12.0,4.0,1,0
1,0,0,0,1,0,0,0,0,0,2,7,0,0,2,1,0,14.5,3.88461538462,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,2.14285714286,1,0
1,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,20.0,4.05263157895,1,0
1,0,1,1,4,1,0,0,0,0,2,9,0,1,0,0,0,11.0,3.33333333333,3,0
